AgentId;TimeStep;RequestedEnergyInMWH;AwardedEnergyInMWH
100;601124401;;9766.0
100;601127999;9393.0;
100;601128001;;9393.0
100;601131599;9258.0;
100;601131601;;9258.0
100;601135199;9414.0;
100;601135201;;9414.0
100;601138799;9319.0;
100;601138801;;9319.0
100;601142399;9947.0;
100;601142401;;9947.0
100;601145999;10047.0;
100;601146001;;10047.0
100;601149599;10029.0;
100;601149601;;10029.0
100;601153199;9529.0;
100;601153201;;9529.0
100;601156799;8947.0;
100;601156801;;8947.0
100;601160399;8548.0;
100;601160401;;8548.0
100;601163999;7921.0;
100;601164001;;7921.0
100;601167599;6640.0;
100;601167601;;6640.0
100;601171199;5557.0;
100;601171201;;5557.0
100;601174799;5347.0;
100;601174801;;5347.0
100;601178399;5321.0;
100;601178401;;5321.0
100;601181999;5233.0;
100;601182001;;5233.0
100;601185599;5298.0;
100;601185601;;5298.0
100;601189199;5584.0;
100;601189201;;5584.0
100;601192799;8590.0;
100;601192801;;8590.0
100;601196399;9262.0;
100;601196401;;9262.0
100;601199999;10044.0;
100;601200001;;10044.0
100;601203599;10193.0;
100;601203601;;10193.0
100;601207199;10178.0;
100;601207201;;10178.0
100;601210799;10148.0;
100;601210801;;10148.0
100;601214399;10156.0;
100;601214401;;10156.0
100;601217999;10173.0;
100;601218001;;10173.0
100;601221599;10296.0;
100;601221601;;10296.0
100;601225199;10215.0;
100;601225201;;10215.0
100;601228799;10845.0;
100;601228801;;10845.0
100;601232399;11290.0;
100;601232401;;11290.0
100;601235999;11286.0;
100;601236001;;11286.0
100;601239599;10980.0;
100;601239601;;10980.0
100;601243199;10309.0;
100;601243201;;10309.0
100;601246799;9698.0;
100;601246801;;9698.0
