AgentId;TimeStep;OfferedEnergyInMWH;AwardedEnergyInMWH;EnergyImbalaceInMWH;ReceivedMarketRevenues
2;971787604;;322.79793960551194;0.0;
2;971791199;690.074810186375;;;
2;971791204;;329.7316093273854;0.0;
2;971794799;563.9874800767781;;;
2;971794804;;419.3150721784674;0.0;
2;971798399;706.697751243142;;;
2;971798404;;703.2701663065939;0.0;
2;971801999;1283.8234802238828;;;
2;971802004;;1280.9914802238827;0.0;
2;971805599;2251.503483382224;;;
2;971805604;;2248.6714833822243;0.0;
2;971809199;2976.231976206352;;;
2;971809204;;2973.399976206352;0.0;
2;971812799;3306.3019856805245;;;
2;971812804;;3303.4699856805246;0.0;
2;971816399;3490.230266529407;;;
2;971816404;;3487.398266529407;0.0;
2;971819999;3589.3170475274756;;;
2;971820004;;3586.4850475274757;0.0;
2;971823599;3652.596082045241;;;
2;971823604;;3649.764082045241;0.0;
2;971827199;3772.3066299834586;;;
2;971827204;;3769.4746299834587;0.0;
2;971830799;3862.0784223760156;;;
2;971830804;;3859.2464223760157;0.0;
2;971834399;3940.278545249955;;;
2;971834404;;3937.4465452499553;0.0;
2;971837999;3968.5630775775558;;;
2;971838004;;3965.731077577556;0.0;
2;971841599;3956.1236042100204;;;
2;971841604;;3953.2916042100205;0.0;
2;971845199;3983.778254925185;;;
2;971845204;;3980.9373658699733;0.0;
2;971848799;4106.719720333502;;;
2;971848804;;3968.845937924706;0.0;
2;971852399;4346.392024147773;;;
2;971852404;;3924.8960548560653;0.0;
2;971855999;4575.081319831689;;;
2;971856004;;3935.3664007650473;0.0;
2;971859599;4656.0894694152375;;;
2;971859604;;3872.1460148156784;0.0;
2;971863199;4473.459002627531;;;
2;971863204;;3605.2280958876913;0.0;
2;971866799;4331.199071433779;;;
2;971866804;;3466.646239785187;0.0;
2;971870399;4225.10480146742;;;
2;971870404;;3440.1461649784983;0.0;
2;971873999;4105.53975686836;;;
2;971874004;;3491.7591364117347;0.0;
2;971877599;3915.5629492609746;;;
2;971877604;;3526.038221249148;0.0;
2;971881199;3719.6227927882383;;;
2;971881204;;3611.154693880452;0.0;
2;971884799;3597.040796741916;;;
2;971884804;;3593.940635927271;0.0;
2;971888399;3667.866882363102;;;
2;971888404;;3665.034882363102;0.0;
2;971891999;3773.7550317676796;;;
2;971892004;;3770.9230317676797;0.0;
2;971895599;3853.053921688902;;;
2;971895604;;3850.221921688902;0.0;
